"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2256838858,2069870130,1272835453,1201312829,1315158637,1468317435,1596968946,1639492445,1893726437,1845482173,1911563669,2118467913,2376335048,2807061009,3576615240,4900469950,6384451606,9206301700,11662040714,8647936748,9260284938,10142111334,10619320049,11121465767,11609512940,10553337673,10546135160,11527458566,12457941907,13619291361,12641209802,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.12e+08,5.24e+08,5.09e+08,5e+08,4.93e+08,5.18e+08,5.6e+08,6.75e+08,5.73e+08,5.7e+08,6.4e+08,6.38e+08,6.43e+08,6.73e+08,6.71e+08,6.12e+08,6.39e+08,6.48e+08,7.09e+08,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77496753.7,87879341.48,109079978.9,131431026.7,147841734.4,164369278.9,182144093,208372846.3,240923924.8,290440140.7,337174861.9,398637727.8,438794788.5,459470370.4,481707407.4,499281481.5,535174074.1,589429629.6,577281481.5,633729629.6,680618518.5,727859259.3,766200000,826370370.4,800481481.5,814381481.5,856396296.3,919729629.6,1022962963,1157662963,1312759259,1370070370,1228329630,1148700000,1137637037,1199948148,1181448148,1249733333,1336692593,1436585185,1467977778,1605944444,1687533333,1370281481,NA
18606786874,19683055213,19922723709,21539926084,23801097547,25977153097,27309889125,30444618658,32716989584,36686079068,41337215814,45222309329,52051401869,63844971172,88981577008,97333060221,1.05101e+11,1.10388e+11,1.18536e+11,1.34941e+11,1.50032e+11,1.76953e+11,1.94105e+11,1.77334e+11,1.93594e+11,1.80574e+11,1.82368e+11,1.894e+11,2.36066e+11,2.99768e+11,3.11327e+11,3.25903e+11,3.2548e+11,3.12126e+11,3.22807e+11,3.67916e+11,4.0109e+11,4.35324e+11,3.99404e+11,3.89099e+11,4.15576e+11,3.79084e+11,3.95343e+11,4.67391e+11,6.14166e+11,6.95075e+11,7.47556e+11,8.53955e+11,1.05513e+12,9.28043e+11,1.14759e+12,1.39791e+12,1.54651e+12,1.57634e+12,1.4675e+12,1.35053e+12,1.20669e+12,1.32688e+12,1.42853e+12,1.39195e+12,1.32784e+12,NA
6592693841,7311749633,7756110210,8374175258,9169983886,9994070616,10887682273,11579431669,12440625313,13582798556,15373005557,17858486067,22059612477,29515467707,35189299912,40059206763,42959976222,51545758888,62052259073,73937296963,82058912997,71034228443,71275287570,72121016547,67985344887,69386774408,99036164939,1.24168e+11,1.33339e+11,1.33106e+11,1.66463e+11,1.73794e+11,1.95078e+11,1.9038e+11,2.03535e+11,2.41038e+11,2.37251e+11,2.1279e+11,2.1826e+11,2.17259e+11,1.9729e+11,1.97509e+11,2.14395e+11,2.62274e+11,3.01458e+11,3.16092e+11,3.3628e+11,3.89186e+11,4.32052e+11,4.01759e+11,3.92275e+11,4.31685e+11,4.09402e+11,4.30191e+11,4.42585e+11,3.81971e+11,3.95837e+11,4.17261e+11,4.55168e+11,4.45012e+11,4.33258e+11,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,446305555.6,1.57e+09,1193312102,2417355840,3176333837,3962238113,4446368571,4581432039,5272798391,5707720391,6235856820,7276753895,8680370408,13245716099,20982986344,33050343783,48852482960,44291490421,52909294792,65951627200,69683935845,74164435946,75244294275,53074370486,37867518957,40865558912,47112941176,48174235294,42607176471,NA
195999990,202999992,213500006,232749998,260750008,158994963,165444571.4,178297142.9,183200000,190205714.3,242732571.4,252842285.7,246804571.4,304339839.6,345263492.1,420986666.7,448412753.6,547535555.6,610225555.6,782496666.7,919726666.7,969046666.7,1013222222,1082926304,987143931.2,1149979286,1201725497,1131466494,1082403219,1113924130,1132101253,1167398478,1083037671,938632612,925030590.2,1000428394,869033856.3,972896267.9,893770806.1,808077223.4,870486065.9,876794723.1,825394490.2,784654423.6,915257323.4,1117113046,1273375020,1356199365,1611835902,1781455092,2032135247,2235820868,2333308099,2451625333,2705783272,3104394858,2732808557,2748180474,2668495743,2631434363,2841786382,NA
11658722591,12400145222,13264015675,14260017387,15960106681,17371457608,18651883472,19992040788,21376353113,23710735895,26706196047,29821661870,37209418019,47743801490,56033077879,65678189097,71113882968,82839905459,1.01247e+11,1.16315e+11,1.26829e+11,1.0473e+11,92095926188,87184239053,83349530159,86268264148,1.20019e+11,1.49394e+11,1.62299e+11,1.64221e+11,2.05332e+11,2.10511e+11,2.34782e+11,2.24722e+11,2.44884e+11,2.88026e+11,2.79201e+11,2.52708e+11,2.58528e+11,2.58246e+11,2.36792e+11,2.36746e+11,2.58384e+11,3.18083e+11,3.69215e+11,3.85715e+11,4.0826e+11,4.70922e+11,5.17328e+11,4.83254e+11,4.81421e+11,5.2333e+11,4.96153e+11,5.21791e+11,5.3539e+11,4.62336e+11,4.76063e+11,5.02765e+11,5.43274e+11,5.35289e+11,5.21861e+11,NA
226195579.4,235668222.4,236434906.8,253927646.5,269818988.3,289908720.6,302925280.8,306222000.4,326323097.4,330748211.5,333627758.2,335072975.2,410331901,504376035.7,554654787,676870140.3,698408244.4,750049739.2,928843304.8,1186231265,1405251547,1291119965,1267778489,1095348303,1051133927,1045712703,1336102041,1562412030,1620246187,1502294411,1959965244,1986437860,1695315306,2274557914,1598075932,2169627251,2361116588,2268301538,2455092582,3677394292,3519991326,3666222600,4194342849,5349258334,6190270756,6567654494,7034111651,8169048690,9787735426,9738626993,9535344283,10693321954,11141358945,12517845732,13284528654,11388160958,11821066153,12701654743,14262407012,14391686633,15651545332,NA
330442817.2,350247237.1,379567023.3,394040588.3,410321618.2,422916848.4,433889831.6,450753993.2,460442678.2,478298597.6,458404330.1,482411103.8,578595584,674773518.4,751133330.6,939972703.5,976547163.5,1131224818,1475583383,1748480982,1928719477,1775842026,1754449845,1600278756,1459880019,1552493068,2036303381,2369834650,2616040646,2615587726,3101300642,3135045684,3356692518,3199536228,1895290623,2379518099,2586550747,2447668985,2804902248,3389566983,2968369991,3190371050,3622350204,4740768355,5451688868,6146352742,6547420134,7625723124,9451436359,9450697336,10109618964,12080296644,12561016091,13444301139,13943016924,11832159276,12833363370,14106956830,15890065020,16178162030,17933606353,NA
4274893913,4817580184,5081413340,5319458351,5386054619,5906636557,6439687598,7253575399,7483685474,8471006101,8992721809,8751842840,6288245867,8086725729,12512460520,19448348073,10117113333,9651149302,13281767143,15565480322,18138049096,20249694002,18525399202,17609048822,18920840000,22278423077,21774033333,24298032258,26579005760,28781714764,31598341234,30957483950,31708874594,33166519418,33768660883,37939748769,46438484108,48244309133,49984559471,51270569884,53369787319,53991289844,54724081491,60158929188,65108544250,69442943089,71819083684,79611888213,91631278239,1.02478e+11,1.15279e+11,1.28638e+11,1.33356e+11,1.4999e+11,1.72885e+11,1.95079e+11,2.21415e+11,2.49711e+11,2.74039e+11,3.02571e+11,3.23057e+11,NA
